epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.27371,1.19934,3.29424,3.13651,1.19861,0,0.01095,0.40333,0.1724,0.11723,0.00965,0.34,0.13793,0.06994,1.1997,2.8228,3.30326,1.11205,0,0.0003375,0.0003375,0.0003375
2,7.00134,1.16964,2.29633,1.89725,1.13267,0,0.81907,0.21214,0.24342,0.17395,0.80363,0.20136,0.22198,0.14059,1.35762,2.17178,2.54102,1.21435,0,0.000680694,0.000680694,0.000680694
3,9.84933,1.20341,2.10781,1.62596,1.15747,0,0.58827,0.30981,0.3318,0.21788,0.78452,0.19998,0.3087,0.18322,1.34327,2.27843,2.40484,1.18169,0,0.00101696,0.00101696,0.00101696
4,12.6215,1.17651,1.90526,1.55764,1.16662,0,0.39355,0.35846,0.3638,0.22966,0.36757,0.33856,0.32735,0.18281,1.4749,2.46325,2.09121,1.31115,0,0.00121287,0.00121287,0.00121287
5,15.4522,1.10861,1.90486,1.3757,1.13659,0,0.4214,0.44346,0.36549,0.21702,0.40818,0.42881,0.3514,0.18505,1.46497,2.58516,1.82902,1.25149,0,0.0012005,0.0012005,0.0012005
6,18.2548,1.10566,1.74424,1.29104,1.11748,0,0.51557,0.5109,0.45761,0.29667,0.49731,0.4813,0.42592,0.23532,1.31105,2.19237,1.70817,1.20155,0,0.00118812,0.00118812,0.00118812
7,20.9951,1.12589,1.68545,1.2631,1.11721,0,0.64629,0.43036,0.50523,0.31723,0.5961,0.38122,0.4364,0.22722,1.32352,2.38962,1.92916,1.21102,0,0.00117575,0.00117575,0.00117575
8,23.7465,1.06989,1.63526,1.26433,1.11076,0,0.56756,0.43499,0.458,0.29958,0.52691,0.4078,0.43189,0.23238,1.30517,2.08268,1.56455,1.17665,0,0.00116337,0.00116337,0.00116337
9,26.4819,1.04414,1.66015,1.22769,1.10215,0,0.64085,0.55767,0.58404,0.38272,0.59817,0.52343,0.53275,0.29523,1.19416,1.83721,1.40319,1.10379,0,0.001151,0.001151,0.001151
10,29.2403,1.04408,1.54673,1.14061,1.08707,0,0.69729,0.54238,0.5695,0.36907,0.66365,0.49309,0.50432,0.26904,1.27048,2.06301,1.50601,1.1558,0,0.00113863,0.00113863,0.00113863
11,32.0746,0.99968,1.61757,1.10915,1.06878,0,0.68978,0.5474,0.57989,0.39527,0.63043,0.50851,0.5204,0.30099,1.15264,1.84329,1.33573,1.08585,0,0.00112625,0.00112625,0.00112625
12,35.1624,0.97917,1.5189,1.10447,1.08353,0,0.70189,0.53311,0.5976,0.4141,0.66851,0.5062,0.56254,0.33697,1.13428,1.69876,1.23179,1.04931,0,0.00111388,0.00111388,0.00111388
